date,aod_550nm,no2_column_density,humidity_percent,pm25_estimated,aqi_estimated,aqi_category,aqi_color,data_source,soil_moisture,precipitation_mm,ndwi,flood_risk_score,risk_category,risk_color,is_monsoon_season,data_source_flood,day_of_week,is_weekend,radiance_nw_cm2_sr,activity_level,activity_color,economic_activity_index,data_source_urban,T2M,RH2M,heat_index_c,heat_index_f,heat_risk_level,heat_risk_color,T2M_power,T2M_MAX,T2M_MIN,RH2M_power,WS10M,PRECTOTCORR,day_of_year,month,is_monsoon,season,environmental_stress_index,air_quality_composite,water_stress_index,urban_environmental_load,aqi_estimated_lag1,aqi_estimated_lag3,flood_risk_score_lag1,flood_risk_score_lag3,aqi_estimated_7day_avg,aqi_estimated_7day_std,flood_risk_score_7day_avg,flood_risk_score_7day_std,environmental_stress_index_7day_avg,environmental_stress_index_7day_std,aqi_risk_level,flood_risk_level
2023-10-13,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,4,0,29.45,Moderate,2,61.849999999999994,0,27.74,76.37,30.96954181451243,87.74517526612237,0,3,27.74,33.61,22.69,76.37,2.61,0.05,286,10,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-10-14,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,5,1,29.45,Moderate,2,61.849999999999994,0,27.78,72.26,30.525624095328016,86.94612337159043,0,3,27.78,33.26,22.69,72.26,2.02,0.08,287,10,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-10-15,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,6,1,29.45,Moderate,2,61.849999999999994,0,27.44,77.19,30.41215775593912,86.74188396069042,0,3,27.44,32.98,22.84,77.19,2.29,0.21,288,10,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-10-16,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,0,0,29.45,Moderate,2,61.849999999999994,0,27.76,76.57,31.040375380528044,87.87267568495048,0,3,27.76,32.69,23.45,76.57,2.07,0.4,289,10,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-10-17,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,1,0,29.45,Moderate,2,61.849999999999994,0,27.63,75.47,30.61596477320269,87.10873659176484,0,3,27.63,32.95,23.04,75.47,2.12,0.45,290,10,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-10-18,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,2,0,29.45,Moderate,2,61.849999999999994,0,26.96,77.28,29.406397937175612,84.93151628691611,0,3,26.96,32.58,22.49,77.28,3.11,0.04,291,10,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-10-19,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,3,0,29.45,Moderate,2,61.849999999999994,0,27.04,75.36,29.39452797035114,84.91015034663205,0,3,27.04,32.98,21.96,75.36,2.58,0.01,292,10,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-10-20,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,4,0,29.45,Moderate,2,61.849999999999994,0,27.72,74.32,30.66247784639993,87.19246012351988,0,3,27.72,32.63,23.0,74.32,2.35,0.02,293,10,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-10-21,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,5,1,29.45,Moderate,2,61.849999999999994,0,27.46,76.12,30.331767418283015,86.59718135290943,0,3,27.46,32.24,22.95,76.12,2.71,0.01,294,10,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-10-22,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,6,1,29.45,Moderate,2,61.849999999999994,0,27.48,77.2,30.50066640684348,86.90119953231826,0,3,27.48,32.25,23.34,77.2,2.37,0.05,295,10,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-10-23,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,0,0,29.45,Moderate,2,61.849999999999994,0,26.83,73.63,28.85042404142612,83.93076327456701,0,3,26.83,32.76,21.98,73.63,2.67,0.0,296,10,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-10-24,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,1,0,29.45,Moderate,2,61.849999999999994,0,26.68,73.59,28.577268025070296,83.43908244512653,0,3,26.68,32.35,22.33,73.59,2.82,0.0,297,10,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-10-25,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,2,0,29.45,Moderate,2,61.849999999999994,0,25.92,71.17,26.42588333333334,79.56659,3,0,25.92,32.32,20.86,71.17,3.3,0.0,298,10,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-10-26,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,3,0,29.45,Moderate,2,61.849999999999994,0,25.32,65.69,25.62279444444444,78.12102999999999,3,0,25.32,31.85,19.84,65.69,3.78,0.0,299,10,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-10-27,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,4,0,29.45,Moderate,2,61.849999999999994,0,24.73,64.9,24.953166666666675,76.91570000000002,3,0,24.73,31.81,18.73,64.9,3.47,0.0,300,10,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-10-28,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,5,1,29.45,Moderate,2,61.849999999999994,0,25.12,64.73,25.377727777777785,77.67991,3,0,25.12,32.3,18.75,64.73,3.03,0.0,301,10,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-10-29,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,6,1,29.45,Moderate,2,61.849999999999994,0,25.26,63.93,25.510838888888895,77.91951000000002,3,0,25.26,32.69,18.63,63.93,2.77,0.0,302,10,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-10-30,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,0,0,29.45,Moderate,2,61.849999999999994,0,25.0,65.25,25.25930555555556,77.46675,3,0,25.0,32.31,19.09,65.25,3.46,0.0,303,10,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-10-31,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,1,0,29.45,Moderate,2,61.849999999999994,0,24.78,67.0,25.063,77.1134,3,0,24.78,31.68,18.56,67.0,3.43,0.0,304,10,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-11-01,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,2,0,29.45,Moderate,2,61.849999999999994,0,24.59,70.12,24.93546666666667,76.88384,3,0,24.59,31.66,18.94,70.12,3.46,0.0,305,11,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-11-02,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,3,0,29.45,Moderate,2,61.849999999999994,0,24.93,69.93,25.304505555555554,77.54811,3,0,24.93,31.66,18.97,69.93,3.06,0.0,306,11,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-11-03,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,4,0,29.45,Moderate,2,61.849999999999994,0,25.31,69.14,25.701877777777767,78.26337999999998,3,0,25.31,32.47,19.61,69.14,3.31,0.0,307,11,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-11-04,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,5,1,29.45,Moderate,2,61.849999999999994,0,25.78,66.62,26.153077777777774,79.07554,3,0,25.78,33.43,19.06,66.62,3.85,0.0,308,11,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-11-05,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,6,1,29.45,Moderate,2,61.849999999999994,0,26.29,72.09,27.826519834328305,82.08773570179095,0,3,26.29,32.35,21.17,72.09,3.53,0.01,309,11,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-11-06,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,0,0,29.45,Moderate,2,61.849999999999994,0,25.16,71.9,25.608944444444447,78.0961,3,0,25.16,31.15,20.61,71.9,4.06,0.01,310,11,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-11-07,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,1,0,29.45,Moderate,2,61.849999999999994,0,25.66,76.32,26.274355555555555,79.29384,3,0,25.66,31.82,20.66,76.32,3.16,0.0,311,11,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-11-08,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,2,0,29.45,Moderate,2,61.849999999999994,0,26.07,81.78,27.874036040701935,82.17326487326349,0,3,26.07,30.69,22.27,81.78,2.84,3.53,312,11,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-11-09,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,3,0,29.45,Moderate,2,61.849999999999994,0,26.56,82.13,28.93960318020526,84.09128572436947,0,3,26.56,30.42,23.35,82.13,1.9,0.72,313,11,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-11-10,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,4,0,29.45,Moderate,2,61.849999999999994,0,25.68,86.64,26.56582222222222,79.81848,3,0,25.68,28.39,24.04,86.64,2.72,11.2,314,11,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-11-11,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,5,1,29.45,Moderate,2,61.849999999999994,0,26.08,74.28,27.584341469608084,81.65181464529455,0,3,26.08,32.13,21.78,74.28,3.29,1.33,315,11,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-11-12,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,6,1,29.45,Moderate,2,61.849999999999994,0,25.8,70.49,26.276127777777774,79.29702999999999,3,0,25.8,32.75,20.97,70.49,3.97,0.0,316,11,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-11-13,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,0,0,29.45,Moderate,2,61.849999999999994,0,24.98,70.54,25.375433333333334,77.67578,3,0,24.98,32.04,19.54,70.54,3.66,0.0,317,11,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-11-14,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,1,0,29.45,Moderate,2,61.849999999999994,0,24.93,67.93,25.25228333333333,77.45411,3,0,24.93,32.08,19.9,67.93,2.92,0.0,318,11,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-11-15,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,2,0,29.45,Moderate,2,61.849999999999994,0,24.24,68.0,24.495111111111115,76.0912,3,0,24.24,31.52,18.25,68.0,2.84,0.0,319,11,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-11-16,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,3,0,29.45,Moderate,2,61.849999999999994,0,24.22,66.02,24.42141111111112,75.95854000000001,3,0,24.22,31.51,18.38,66.02,3.08,0.0,320,11,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-11-17,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,4,0,29.45,Moderate,2,61.849999999999994,0,23.92,66.33,24.099505555555563,75.37911000000001,3,0,23.92,31.31,17.79,66.33,3.35,0.0,321,11,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-11-18,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,5,1,29.45,Moderate,2,61.849999999999994,0,24.09,68.25,24.336638888888885,75.80595,3,0,24.09,31.51,18.32,68.25,2.99,0.0,322,11,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-11-19,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,6,1,29.45,Moderate,2,61.849999999999994,0,25.35,72.54,25.83465555555555,78.50237999999999,3,0,25.35,31.79,19.96,72.54,2.57,0.0,323,11,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-11-20,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,0,0,29.45,Moderate,2,61.849999999999994,0,26.39,70.45,27.89816876331008,82.21670377395814,0,3,26.39,32.63,21.37,70.45,3.05,0.0,324,11,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-11-21,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,1,0,29.45,Moderate,2,61.849999999999994,0,25.02,69.59,25.394627777777774,77.71033,3,0,25.02,31.71,19.76,69.59,3.38,0.0,325,11,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-11-22,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,2,0,29.45,Moderate,2,61.849999999999994,0,23.82,67.69,24.025016666666676,75.24503000000001,3,0,23.82,30.78,18.47,67.69,3.59,0.0,326,11,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-11-23,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,3,0,29.45,Moderate,2,61.849999999999994,0,24.2,68.09,24.453461111111118,76.01623000000001,3,0,24.2,31.16,18.13,68.09,3.02,0.0,327,11,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-11-24,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,4,0,29.45,Moderate,2,61.849999999999994,0,26.14,72.67,27.61381502719525,81.70486704895146,0,3,26.14,31.88,20.66,72.67,3.15,0.01,328,11,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-11-25,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,5,1,29.45,Moderate,2,61.849999999999994,0,26.83,70.86,28.63728905768666,83.547120303836,0,3,26.83,32.55,21.76,70.86,3.28,1.59,329,11,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-11-26,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,6,1,29.45,Moderate,2,61.849999999999994,0,25.79,82.77,26.585772222222214,79.85439,3,0,25.79,30.24,22.65,82.77,3.47,6.62,330,11,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
